,ques,ans,ans2
43,著書に『普勧坐禅儀』『正法眼蔵』などがある、日本における曹洞宗の開祖である鎌倉時代の禅僧は誰でしょう？,道元,どうげん
44,脚本家として映画『東京タワー オカンとボクと、時々、オトン』で日本アカデミー賞の最優秀脚本賞を受賞し、俳優としても数々の映画やドラマなどに出演している、劇団「大人計画」の主宰は誰でしょう？,松尾スズキ,まつおスズキ
45,アラビア語で「赤い城」という意味の言葉に由来する、イスラム系王朝の統治時代に建設されたスペインのグラナダにある宮殿の名前は何でしょう？,アルハンブラ宮殿,アルハンブラ
46,1872年にイギリス人のブラックが東京で創刊し、1874年に民撰議院設立建白書の全文掲載をいち早く行ったことなどで知られた日本語の日刊新聞は何でしょう？,日新真事誌,にっしんしんじし
47,1933年に植物学者の館脇操が自身の恩師である学者にちなみ命名した、千島列島のウルップ島と択捉島の間にある植物分布の境界線を「何線」というでしょう？,宮部線,みやべ
48,サッカー選手のネイマールがブラジルでプレイしていた時に所属していたクラブで、三浦知良やペレが所属していたこともある、サンパウロ州にホームを置くプロサッカークラブは何でしょう？,サントスFC,サントス
49,1962年に栃木県佐野市で発見された約200点の作品群が、真贋を巡って国会に取り上げられるほどの大論争を巻き起こしたことでも知られる、兄に絵師の光琳を持つ、江戸時代の陶工は誰でしょう？,尾形乾山,おがたけんざん
50,野球で発生する「トリプルプレイ」を日本語では何というでしょう？,三重殺,さんじゅうさつ
51,「麦畑が緑黄色に色付き始める」「草木や生物が次第に育って天地に満ち溢れる」といった頃を指す、今の暦で5月21日頃に訪れる二十四節気の1つは何でしょう？,小満,しょうまん
52,ライン川の伝説に登場する、美しい声で船人を惑わせ船ごと水中に引き込むという妖精を、ライン川航行の難所にある岩山の名前から何というでしょう？,ローレライ,ローレライ
53,大規模な円形壇に築かれた72基の仏塔と、仏塔に収められた多数の仏像で知られ、ユネスコの世界文化遺産の一部となっている、インドネシア・ジャワ島にある仏教遺跡は何でしょう？,ボロブドゥール遺跡,ボロブドゥール
54,世界で初めてフレックスタイム制を導入した会社である、Bf109などの戦闘機で知られるドイツの企業は何でしょう？,メッサーシュミット,メッサーシュミット
55,聖杯を見つけたなどの伝説がある、第1回十字軍の終了後にエルサレムへの巡礼に向かう人たちを守るために設立された騎士団を何というでしょう？,テンプル騎士団,テンプル
56,「アイスクリームの生地」という意味がある、ふわふわとした着心地で人気の、マッシュスタイルラボが運営するルームウェアブランドは何でしょう？,ジェラート・ピケ,ジェラートピケ
57,平面上の2つの定点からの距離の差が一定となる点の軌跡から作られる曲線を何というでしょう？,双曲線,そうきょく
58,狙撃銃や軽機関銃などに装着し、銃身の重さを支える二脚銃架のことを英語で何というでしょう？,バイポッド,バイポッド
59,オペラント条件付けの実験によく用いられるため「オペラント箱」などとも呼ばれる、箱の内部で動物がレバーを動かすとエサが出てくる構造になっている実験装置のことを、考案したアメリカの心理学者の名から何箱というでしょう？,スキナー箱,スキナー
60,日本では民法第732条で禁止されている、既に配偶者がいるにもかかわらず、別の人物と婚姻関係を結ぶ行為を何というでしょう？,重婚,じゅうこん
61,2015年に彼女の半生を描いた伝記映画が公開された、世界で初めて性別適合手術を受けた人物は誰でしょう？,リリー・エルベ,エルベ
62,1975年公開の『ジョーズ』でアカデミー作曲賞を受賞し、『E.T.』や『スター・ウォーズ』シリーズの音楽も手がけたアメリカの作曲家は誰でしょう？,ジョン・ウィリアムズ,ウィリアムズ
63,民法典論争の際『法学新報』に論文「民法出デテ忠孝亡ブ」を発表したことや、天皇主権説を提唱したことで知られる、明治期に活動した法学者は誰でしょう？,穂積八束,ほづみやつか
64,2000年代後半のプロ野球・阪神タイガースで「JFK」と呼ばれた3人の投手といえば、ジェフ・ウィリアムズ、藤川球児と、あと1人は誰でしょう？,久保田智之,くぼたともゆき
65,温度変化により曲がる性質を持つことから温度計などに利用されている、熱膨張率が異なる2枚の金属板を貼り合わせたものを英語で何というでしょう？,バイメタル,バイメタル
66,「御三卿」と呼ばれた3つの徳川家分家とは、田安家、一橋家と何家でしょう？,清水家,しみず
67,正式な品種名を「オロブランコ」という、グレープフルーツとブンタンを交配して作られた緑色の皮の柑橘類は何でしょう？,スウィーティー,スウィーティー
68,1956年に内閣総理大臣に任命されるも、脳梗塞で倒れ65日間で辞職し、現行憲法下で2番目に短い在任期間となった日本の政治家は誰でしょう？,石橋湛山,いしばしたんざん
69,JR東海道本線の横浜駅と戸塚駅の間にある、現役のものとしては日本最古の鉄道トンネルは「何トンネル」でしょう？,清水谷戸トンネル,しみずやと
70,博士号を持っていたことから「ドクター」の異名をとった、1950年の第1回F1世界選手権で優勝を勝ち取ったイタリアのレーサーは誰でしょう？,ジュゼッペ・ファリーナ,ファリーナ
71,「中国独楽」「空中独楽」「輪鼓」などとも呼ばれる、お椀を2個つなげたような形のコマを2本のハンドスティックに通した糸でまわすことにより操るジャグリングの道具は何でしょう？,ディアボロ,ディアボロ
72,アメリカの『LIFE』誌創刊号を飾ったフォート・ペック・ダムの写真で知られる、戦場カメラマンの草分け的存在であるアメリカの女性写真家は誰でしょう？,マーガレット・バーク＝ホワイト,バークホワイト
73,選挙で縁もゆかりもない土地から立候補する人を、知らない土地に突然舞い降りてくる様子をあるものにたとえて「何候補」というでしょう？,落下傘候補,らっかさん
74,長方形や菱形もこれの一種に数えられる、英語で「パラレログラム」という図形は何でしょう？,並行師へ京,へいこうしへんけい
75,1985年に雑誌『フレッシュマガジン』に掲載された『イシュク』でデビューした、『喰いタン』『将太の寿司』『ミスター味っ子』など料理を題材とした漫画を多く発表している漫画家は誰でしょう？,寺沢大介,てらさわだいすけ
76,激しい恋をすることは「身を焦がす」といいますが、結婚して家庭を持つことは「身をどうする」というでしょう？,身を固める,みをかためる
77,唐代の中国では「景教」の名で呼ばれた、コンスタンティノープルの総主教により説かれるも、431年のエフェソス公会議で異端として退けられたキリスト教の一派を何派というでしょう？,ネストリウス派,ネストリウス
78,小説家・羽田圭介の芥川賞受賞作のタイトルにもなっている、老朽化して効率が悪くなった設備や施設を廃棄して新しいものに置き換えることを意味する言葉は何でしょう？,スクラップ・アンド・ビルド,スクラップアンドビルド
79,アメリカ独立宣言の起草者の1人である、第3代アメリカ大統領は誰でしょう？,トーマス・ジェファーソン,ジェファーソン
80,主な作品に『壷とりんご』『雨 法隆寺塔』や『蝋燭』の連作があり、生前は画壇と交流を持たなかったことなどから没後に展覧会が開かれるまで無名であった、福岡県出身の洋画家は誰でしょう？,高島野十郎,たかしまやじゅうろう
81,将棋の戦法で、先手の7六歩に対して4四歩と応じる後手番の奇襲戦法のことを、あるテレビゲームの名前にちなんで「4四歩何」と呼ぶでしょう？,4四歩パックマン,パックマン
82,流体力学において流体が層流になるか乱流になるかを見分ける指標となる、慣性力と粘性力との比で定義された無次元数のことを、提唱したイギリスの物理学者の名前を取って何数というでしょう？,レイノルズ数,レイノルズ
83,日本の気象庁が定める地震の震度階級は、いくつの階級に分かれているでしょう？,10階級,10
84,弟とともに「ふたご座」になったとされる、ギリシャ神話に登場するポルックスの双子の兄は誰でしょう？,カストル,カストル
85,現在は「文化の日」となっている、かつて新年節、紀元節、天長節とともに「四大節」に数えられた日本の祝日は何節でしょう？,明治節,めいじ
86,野球の男子日本代表が「侍ジャパン」の愛称を使い始める前に、2008年3月から「さむらいジャパン」を愛称としていたのは何の競技の男子日本代表チームでしょう？,ホッケー,ホッケー
87,ナミビア西部のナミブ砂漠はこの海流の影響でできたと考えられている、アフリカ大陸南西沖の大西洋を北上する寒流を何海流というでしょう？,ベンゲラ海流,ベンゲラ
88,「お金を擦る」や「財布を掏られる」といった言葉に繋がり縁起が悪いとされることから、干しイカのことを指す「するめ」を言い換えて俗に何というでしょう？,あたりめ,あたりめ
89,和田毅、藤川球児、村田修一などが該当する、1980年から81年生まれのプロ野球選手のことを、この学年を代表する投手の名前にちなんで「誰世代」というでしょう？,松坂世代,まつざか
90,テニスの四大大会を通算14回制するも、全仏オープンでは優勝できなかったためグランドスラムに至らなかった、年間最終世界ランキング6年連続1位の記録も持つアメリカの元男子プロテニス選手は誰でしょう？,ピート・サンプラス,サンプラス
91,黒地の中にヴィクトリア女王の横顔が印刷されている、1840年にイギリスで発行された世界最初の郵便切手を、その額面と色から通称何というでしょう？,ペニー・ブラック,ペニーブラック
92,漢方薬を収納するのに用いられた、小さな引き出しがたくさん付いた箪笥のことを、ある漢数字を用いて何箪笥というでしょう？,百味箪笥,ひゃくみ
93,保険の加入者が保険に安心し、かえって不注意や故意により事故を起こす危険性が高まることを意味する言葉で、近年日本では「倫理観や道徳的節度の欠如」といった意味でも使われるのは何でしょう？,モラルハザード,モラルハザード
94,「スイープロール」や「CtoCロール」といった種類がある、カヌーが転覆したときに、カヌーから出ることなく回転して起き上がるテクニックを何というでしょう？,エスキモーロール,エスキモーロール
95,沖縄県那覇市で毎年5月3日から5日にかけて行われる、爬竜船という船による競漕を行い、泰平民安や豊漁を祈願する祭りを「那覇何」というでしょう？,那覇ハーリー,ハーリー
96,ネオジムなどの元素を添加してレーザーの原料などとして用いられている、イットリウムとアルミニウムの酸化物からなるガーネット構造の結晶体のことを、アルファベット3文字の略称で何というでしょう？,YAG,YAG
97,帆船において帆の張り具合を調節するために用いられるロープのことを、英語で何というでしょう？,シート,シート
98,英語では「コンポジット・ナンバー」と呼ばれる、1とその数自身以外の約数を持つ自然数のことを何というでしょう？,合成数,ごうせいすう
99,将棋で、初手に動かすことができない駒は桂と何でしょう？,角,かく
100,大成する人は幼い頃から優れているということを、ある香木の中国名を使ったことわざで「何は双葉より芳し」というでしょう？,栴檀は双葉より芳し,せんだん
101,正式名称を「災害情報共有システム」という、災害時に必要な情報を地方自治体やライフライン事業者、マスメディアなどで効率的に共有する日本のシステムを通称何というでしょう？,Lアラート,Lアラート
102,目潰しと噛みつきの2つのみが禁止事項となっていた、かつて古代ギリシャで行われていた格闘技を、「全力」を意味するギリシャ語から何というでしょう？,パンクラチオン,パンクラチオン
103,草津町は群馬県にある自治体ですが、草津市はどこの都道府県にある自治体でしょう？,滋賀県,しが
104,豊臣秀吉が新たな大仏を安置する寺として1595年に建立し、その子の秀頼の代に造られた梵鐘に記された「国家安康」「君臣豊楽」の言葉に徳川家康が激怒し、大坂の陣の契機になったという逸話がある京都市の寺院はどこでしょう？,方広寺,ほうこうじ
105,ASEAN加盟国の中では唯一の内陸国である、首都をヴィエンチャンに置く国はどこでしょう？,ラオス人民民主共和国,ラオス
106,現在のフランスとイギリスの国境線を決めることとなった、14世紀から15世紀にかけて起こり、ジャンヌ・ダルクが活躍したフランス王国とイングランド王国の戦争は「何戦争」でしょう？,百年戦争,ひゃくねん
107,『グラバー邸』『長岡の花火』など貼り絵による作品を多く残した、ドラマ『裸の大将』のモデルになったことでも知られる画家は誰でしょう？,山下清,やましたきよし
108,日本の国民の祝日のうち、「記念」という言葉が付くのは、建国記念の日と何でしょう？,憲法記念日,けんぽうきねんび
109,日本名を小野太郎という、元ビートルズのジョン・レノンを父に、前衛芸術家のオノ・ヨーコを母に持つアメリカのミュージシャンは誰でしょう？,ショーン・レノン,ショーンレノン
110,フランス語で「足」という意味がある、マカロン生地を焼く際に中の空気が抜けることによってできる膨らみのことを何というでしょう？,ピエ,ピエ
111,デンマーク語で「居心地の良い雰囲気」といった意味がある、2016年頃から欧米を中心に広まった、人とのふれあいや家庭を大切にするデンマーク流の幸福概念を何というでしょう？,ヒュッゲ,ヒュッゲ
112,第一次世界大戦後のドイツで、ハイパーインフレを解消するために1923年に導入された、それまでの1兆マルクを1とする臨時の通貨単位は何でしょう？,レンテンマルク,レンテンマルク
113,別名を「マーカス島」という、東京都小笠原村に属する日本最東端の島はどこでしょう？,南鳥島,みなみとりしま
114,1898年にキュリー夫妻によって発見され、妻マリーの祖国ポーランドにちなんで名前が付けられた元素は何でしょう？,ポロニウム,ポロニウム
115,最後の場所は多賀竜が優勝した、1985年に両国に移転するまで大相撲本場所の東京における会場として用いられていた旧国技館のことを、それがあった地名をとって通称何国技館というでしょう？,蔵前国技館,くらまえ
116,考案したドイツの選手の名前から「ケンパ・トリック」ともいう、ハンドボールで、宙に跳んで浮いている間にパスを受け、そのままシュートすることを何というでしょう？,スカイプレー,スカイプレー
117,2019年に女流プロ将棋界の7つ目のタイトル戦として創設された、不動産会社のヒューリックなどが主催する棋戦は何戦でしょう？,清麗戦,せいれい
118,著書『21世紀の資本』で資本主義がもたらした格差の拡大を実証したフランスの経済学者は誰でしょう？,トマ・ピケティ,ピケティ
119,PC用キーボードのQWERTY配列などに代表される、規格として定められたのではなく市場競争の結果として事実上標準になった基準のことを、「事実上の」を意味するラテン語を使った英語で何というでしょう？,デファクトスタンダード,デファクトスタンダード
120,カジュアルなファッションの定番「ネルシャツ」の「ネル」とは何という言葉の略でしょう？,フランネル,フランネル
121,身体の柔軟性を測る「体前屈測定」をその姿勢から大きく2種類に分けると、座って行う「長座体前屈」と、立ったまま行う何でしょう？,立位体前屈,りつい
122,アメリカンフットボールで、オフェンス側が攻撃権を保つためには何回の攻撃の間に10ヤード以上進まなければならないでしょう？,4回,4
123,代表作に『無我』や『生々流転』などがあり、「朦朧体」という画法を試みたことや、岡倉天心らとともに日本美術院の創立に参加したことでも知られる近代の日本画家は誰でしょう？,横山大観,よこやまたいかん
124,太平洋戦争のマレー作戦を指揮してシンガポール攻略などの功績を上げ、「マレーの虎」と呼ばれた日本の陸軍軍人は誰でしょう？,山下奉文,やましたともゆき
125,元々は2人のプレイヤーと審判が帽子の中にお金や品物を入れて交換を行うゲームを指した言葉に由来するとされる、スポーツやゲームなどにおいてプレイヤー間の実力差が大きい場合に、事前にその埋め合わせを行うことを指す言葉は何でしょう？,ハンディキャップ,ハンディキャップ
126,ヘリコプターがエンジンの動力を失った時に、降下時の風力でローターを回して緩やかに着陸する飛行方法を英語で何というでしょう？,オートローテーション,オートローテーション
127,採血や注射などの際に、静脈を浮き立たせるために腕に巻く、ゴムなどで出来たひものことを何というでしょう？,駆血帯,くけつたい
128,ドビュッシーの『前奏曲』第1巻第8曲と、ヴィレッジ・シンガーズの5枚目のシングル曲、およびそれをカバーした島谷ひとみの2002年のシングル曲に共通するタイトルは何でしょう？,『亜麻色の髪の乙女』,あまいろのかみのおとめ
129,アイスホッケーを行うリンクの上に描かれているサークルの数はいくつでしょう？,5つ,5
130,会社法で定められている持分会社のうち、その社員が全員無限責任社員でなくてはならない会社形態は何でしょう？,合名会社,ごうめい
131,飛膜を使って滑空するムササビとモモンガは、ともに何科の動物でしょう？,リス科,リス
132,1988年にプリツカー賞を受賞したブラジルの建築家で、ル・コルビュジエとともに国際連合本部ビルをデザインしたことで知られるのは誰でしょう？,オスカー・ニーマイヤー,ニーマイヤー
133,紀元前に共和制ローマとカルタゴの間で3度にわたって繰り広げられた戦争を、「フェニキア人」を意味するラテン語を使って何戦争というでしょう？,ポエニ戦争,ポエニ
134,アメリカンフットボールで、タッチダウンが決まった時に入る得点は何点でしょう？,6点,6
135,料理において「1カップ」といえば、通常何ccのことでしょう？,200cc,200
136,英語で、オスのクジャクを「ピーコック」というのに対し、メスのクジャクを特に何というでしょう？,ピーヘン,ピーヘン
137,インドネシアの首都・ジャカルタがある島は何島でしょう？,ジャワ島,ジャワ
138,「ティン・リジー」という愛称で呼ばれ、低廉な価格から大衆車として多くの売上を誇った、20世紀初頭にアメリカのフォード・モーターが発売した自動車は「フォード・モデル何」でしょう？,フォード・モデルT,T
139,『前奏曲』『メヌエット』『月の光』『パスピエ』の全4曲で構成された、ドビュッシーが作曲したピアノ組曲を『何組曲』というでしょう？,『ベルガマスク組曲』,ベルガマスク
140,図形を描いて考察中にローマ兵に殺されたとされる、浮力の法則などを発見した古代ギリシャの数理学者は誰でしょう？,アルキメデス,アルキメデス
141,海外では「ザ・サン」や「ニューヨーク・ポスト」、日本では「夕刊フジ」や「日刊ゲンダイ」がこれにあたる、一般の新聞のおよそ半分のサイズの新聞を英語で何というでしょう？,タブロイド,タブロイド
142,元野球選手のイチローがアメリカ・MLBで所属した3つの球団とは、シアトル・マリナーズ、ニューヨーク・ヤンキースとあと1つはどこでしょう？,マイアミ・マーリンズ,マイアミマーリンズ
143,小倉百人一首に収められた和歌「これやこの行くも帰るも分かれては 知るも知らぬも逢坂の関」を詠んだ、琵琶の名手であったとされる盲目の歌人は誰でしょう？,蝉丸,せみまる
144,日本の政令指定都市20市に13区存在する、最も多く使われている区の名前は何でしょう？,南区,みなみとりしま
145,正式名を「第4航空団飛行群第11飛行隊」という、日本の航空自衛隊に所属するアクロバット飛行チームの愛称は何でしょう？,ブルーインパルス,ブルーインパルス
146,ラグビーなどの球技で、手から放したボールを地面につかないうちに大きく前へ蹴り上げることを何キックというでしょう？,パントキック,パント
147,南極に自生することが知られている2つの種子植物とは、ナンキョクコメススキと何でしょう？,ナンキョクミドリナデシコ,ナンキョクミドリナデシコ
148,1869年に明治政府の中央集権化政策の一環として行われた、江戸期から存続していた各藩が領地・領民を朝廷に返上し、それまでの藩主が政府の任命を受ける「知藩事」に改められた出来事を、一般に漢字4文字で何というでしょう？,版籍奉還,はんせきほうかん
149,日本人の母を持ち、「良男」という日本名も持っている、クラウンエーテルの開発と応用によって1987年のノーベル化学賞を受賞したアメリカの化学者は誰でしょう？,チャールズ・ペダーセン,ペダーセン
150,公務員の地位に関する経過規定を定めている、日本国憲法の最後の条文は第何条でしょう？,第103条,103
151,中国の小説『三国志演義』で、劉備・関羽と桃園において義兄弟の契りを結んだ蜀の武将は誰でしょう？,張飛,ちょうひ
152,シューティングゲームの中でも特に、操作キャラクターの姿を追うように第三者視点で画面が表示されるゲームを総称して、アルファベット3文字の略語で何というでしょう？,TPS,TPS
153,2017年にJリーグに加盟し、静岡県で4番目のJリーグチームとなったプロサッカークラブは何でしょう？,アスルクラロ沼津,アスルクラロぬまづ
154,英語で「滴り落ちる」という意味があり、アメリカの俳優ウィル・ロジャースの発言に由来して名付けられた、「富裕層を支援することによって経済活動が活性化されれば、自然に貧困層も豊かになる」とする理論は何でしょう？,トリクルダウン,トリクルダウン
155,ジュール・ヴェルヌの小説『八十日間世界一周』で、世界一周の旅に出る主人公のイギリス人資産家は誰でしょう？,フィリアス・フォッグ,フォッグ
156,密閉容器内で静止している流体が、ある1点に圧力を受けると、流体内の全ての点に同じ大きさの圧力が加わるという原理を、これを発見したフランスの学者の名をとって何の原理というでしょう？,パスカルの原理,パスカル
157,足利尊氏とその弟・直義による二頭政治が行われていた室町幕府初期に、尊氏を補佐する高師直と直義との対立をきっかけに起こった全国的な内乱のことを何というでしょう？,観応の擾乱,かんのうのじょうらん
158,関東では2月8日、関西では12月8日に行われるところが多い、使えなくなった縫い針を豆腐や蒟蒻に刺すなどして神社に納める行事を一般に何と呼ぶでしょう？,針供養,はりくよう
159,北海道の函館山や神奈川県の江の島などに代表される、大陸や大きな島の海岸近くにある島だった陸地が、トンボロと呼ばれる砂州によって対岸と陸続きになったもののことを何というでしょう？,陸繋島,りくけいとう
160,ウラジミールとエストラゴンという2人の男が、1本の木が立っているだけの道で、ある人物が来るのをひたすらに待つという内容である、不条理演劇の代表作に挙げられるサミュエル・ベケットの戯曲は何でしょう？,『ゴドーを待ちながら』,ゴドーをまちながら
161,マリンバやティンパニなどの打楽器の演奏に使われる、先端が柔らかく玉状になっているばちを、「木槌」を意味する英語で何というでしょう？,マレット,マレット
162,紫式部の著書『源氏物語』第39帖の巻名にもなっている、光源氏と葵の上の間に生まれ、源氏の表向きの長男とされる人物は誰でしょう？,夕霧,ゆうぎり
163,"小惑星番号が円周率の約1,000倍である「3142」であることからその名が付けられた、1937年にフランスの天文学者アンドレ・パトリーによって発見された小惑星は何でしょう？",キロパイ,キロパイ
164,数字選択式宝くじの1つ「ロト6」で選べる数字は1からいくつまででしょう？,43,43
165,江戸時代中期に大衆向け健康書である『養生訓』を記した福岡藩の儒学者は誰でしょう？,貝原益軒,かいばらえきけん
166,タレスは水、ヘラクレイトスは火がこれにあたると主張した、古代ギリシャの哲学界において「万物の根源」という概念を表す「始源」という意味のギリシャ語は何でしょう？,アルケー,アルケー
167,シュヴァリエ、オフィシエ、コマンドゥール、グラントフィシエ、グランクロワの5階級に分けられる、ナポレオン・ボナパルトが制定したフランスの最高勲章を何勲章というでしょう？,レジオン・ドヌール勲章,レジオンドヌール
168,獅子文六の同名の自伝小説を原作とする、1961年4月3日に放送が開始されたNHK連続テレビ小説の第1作は何でしょう？,『娘と私』,むすめとわたし
169,英語で「アホウドリ」を意味する言葉で、ゴルフにおいて各ホールの基準打数より3打少ない打数でカップインすることを何というでしょう？,アルバトロス,アルバトロス
170,美術品や刀剣などの鑑定書のことを、二つ折りにした公文書を指す言葉から転じて何と呼ぶでしょう？,折り紙,おりがみ
171,1945年8月6日の原爆投下直後に広島県で出生したことから、1964年の東京オリンピック開会式の最終聖火ランナーに選ばれた元陸上競技選手は誰でしょう？,坂井義則,さかいよしのり
172,これまでの受賞者に森博嗣、西尾維新、辻村深月などがいる、講談社主催の文学新人賞は何賞でしょう？,メフィスト賞,メフィスト
173,「ストライキ」の中でも、食事を断つことで抗議の意思を示そうとするものを特に何ストライキというでしょう？,ハンガーストライキ,ハンガー
174,「まぶたは薄い皮膚でしかないはずなのに、風景が透けて見えたことはまだない。」という書き出しで始まる、お笑い芸人・又吉直樹の第2作目の小説は何でしょう？,『劇場』,げきじょう
175,4世紀にフン族の圧迫に触発されヨーロッパで大規模な移動を開始した、ゴート人やアングロ・サクソン人などのインド・ヨーロッパ語族に属する人々を総称して何民族というでしょう？,ゲルマン民族,ゲルマン
176,市内に本社がある霧島酒造の焼酎や地元産の和牛が「ふるさと納税」の返礼品として高い人気を誇り、2015年から2年連続で「ふるさと納税」の納税額日本一の自治体となった、宮崎県第2の人口を擁する都市はどこでしょう？,都城市,みやこのじょう
177,大宝律令の修正版として藤原不比等らが編纂し、757年に藤原仲麻呂によって施行された法典は何でしょう？,養老律令,ようろうりつりょう
178,「広ク会議ヲ興シ万機公論ニ決スベシ」という文から始まる、1868年に明治天皇が公布した明治政府の基本方針を示した5つの条文を何というでしょう？,五箇条の御誓文,ごかじょうのごせいもん
179,第1回は北井一夫の『村へ』が受賞した、「写真界の芥川賞」とも呼ばれる、ある写真家の名を冠した朝日新聞社主催の賞は何写真賞でしょう？,木村伊兵衛写真賞,きむらいへい
180,特撮番組『ウルトラシリーズ』に登場する「ウルトラの父」の本名は「ウルトラマン何」でしょう？,ウルトラマンケン,ケン
181,ハワイ、サモア、トンガ、クック諸島などの島々の総称で、ギリシャ語の「多くの島々」という意味を持つ言葉は何でしょう？,ポリネシア,ポリネシア
182,1600年の関ヶ原の戦いでは西軍の総大将を務めた、豊臣政権の五大老の1人は誰でしょう？,毛利輝元,もうりてるもと
183,体操競技の「段違い平行棒」で使う鉄棒のうち、高いほうの棒の高さは何cmでしょう？,250cm,250
184,英語で「要求に応じて」という意味がある、利用者の注文に応じてサービスを提供する方式を英語で何というでしょう？,オンデマンド,オンデマンド
185,地雷原から地雷を取り除くことを目的とする、MicrosoftのOS・Windowsで「3.1」から標準搭載されていた1人用ゲームの名前は何でしょう？,マインスイーパ,マインスイーパ
186,1997年に『池袋ウエストゲートパーク』でオール読物推理小説新人賞を受賞しデビューした、代表作にドラマ化もされた『下北サンデーズ』や第129回直木賞を受賞した『4TEEN』がある小説家は誰でしょう？,石田衣良,いしだいら
187,1956年に運行開始し、東京駅と博多駅を結んでいた、日本における第二次世界大戦後初の夜行特急の愛称は何でしょう？,あさかぜ,あさかぜ
188,プロ野球・広島東洋カープの永久欠番「8」は彼にちなむものである、選手時代は「ミスター赤ヘル」の愛称で親しまれ、引退後は第3回WBCの日本代表監督などを務めた元野球選手は誰でしょう？,山本浩二,やまもとこうじ
189,アメリカのケネディ大統領暗殺事件の真相究明を目的に作られた調査委員会を、その委員長で当時アメリカ最高裁判所長官だった人物の名をとって通称何委員会というでしょう？,ウォーレン委員会,ウォーレン
190,日本では「フレンチドレッシング」とも呼ばれている、酢と油と塩・胡椒を混ぜ合わせたフランス料理のソースを、フランス語の「酢」の指小形を使って何ソースというでしょう？,ヴィネグレットソース,ヴィネグレット
191,通称を「P&amp;G」といい、日本法人の商品に「アリエール」「ファブリーズ」「パンパース」などがある、アメリカに本社を置く日用品メーカーの名前は何でしょう？,プロクター・アンド・ギャンブル,プロクターアンドギャンブル
192,TBSテレビの時代劇『水戸黄門』シリーズに登場する、「格さん」の通称で呼ばれる水戸光圀の家臣は誰でしょう？,渥美格之進,あつみかくのしん
193,テキサス共和国の初代大統領の名前が付けられた、アメリカ・テキサス州最大の都市はどこでしょう？,ヒューストン,ヒューストン
194,ロシア連邦を構成する共和国のうち、最も面積が大きいのは何共和国でしょう？,サハ共和国,サハ
195,「パスライン」「カム」「エニーセブン」などの賭け方があり、主にアメリカのカジノで人気がある、シューターと呼ばれる人が2つのサイコロを振ってその出目で勝敗を決するゲームは何でしょう？,クラップス,クラップス
196,一般に「世界初の名探偵」といわれる、エドガー・アラン・ポーの推理小説『モルグ街の殺人』などに登場した素人探偵は誰でしょう？,オーギュスト・デュパン,デュパン
197,戯曲『かもめ』『三人姉妹』『桜の園』などの作品で知られる、ロシアの劇作家は誰でしょう？,アントン・チェーホフ,チェーホフ
198,画家のマネや、作曲家のドビュッシーなどが埋葬されている、フランスのパリ16区にある墓地は何でしょう？,パッシー墓地,パッシー
199,富士五湖のうち、最も湖水面積が小さい湖は何湖でしょう？,精進湖,しょうじ
200,1947年に、「グラマラス・グレニス」と名付けた実験飛行機で人類初の有人超音速飛行を成功させた、アメリカの元空軍パイロットは誰でしょう？,チャック・イェーガー,イェーガー
201,2020年に群馬県長野原町に完成予定である、2009年からの民主党政権が建設事業中止を決め、のちに撤回されるという混乱があったことで知られる多目的ダムを何ダムというでしょう？,八ッ場ダム,やんば
202,体操競技の平行棒の技「棒上後方かかえ込み2回宙返り腕支持」を、それを初めて国際大会で成功させた日本の体操選手の名前から何と呼ぶでしょう？,モリスエ,モリスエ
203,「嘘を吐くな」「盗むな」「怠けるな」が標語とされた、15世紀から16世紀にかけて南米大陸に栄えた、首都をクスコに置いた国を一般に何というでしょう？,インカ帝国,インカていこく
204,J.S.バッハ作曲の『管弦楽組曲第3番ニ長調』第2曲をアウグスト・ウィルヘルミが編曲した、ピアノ伴奏付きのバイオリン曲のことを、バイオリンの弦をある1本しか使わずに演奏できることから通称で何というでしょう？,『G線上のアリア』,Gせんじょうのアリア
205,抗生物質を「アンチバイオティクス」というのに対し、ビフィズス菌や乳酸菌など、ヒトの体内で健康を保ち、病気を防ぐ働きをする微生物のことを何というでしょう？,プロバイオティクス,プロバイオティクス
206,ミャンマーなどで採取されるルビーの最高級品を、その色合いをある動物の血の色にたとえて何というでしょう？,ピジョン・ブラッド,ピジョンブラッド
207,弟のヨハンと甥のカールの2人に宛てられた、難聴に苦悩する音楽家のベートーベンが1802年に書いた手紙のことを、それが書かれたオーストリア・ウィーンの地名を取って特に「何の遺書」というでしょう？,ハイリゲンシュタットの遺書,ハイリゲンシュタット
208,ソビエト連邦では十月革命から第二次世界大戦の時期まで国歌として使用されていた、社会主義・共産主義を象徴する歌として全世界で歌われた曲を英語名で一般に何というでしょう？,『インターナショナル』,インターナショナル
209,ギリシャ語で「不安定」という意味がある、原子番号85、元素記号Atの元素は何でしょう？,アスタチン,アスタチン
210,ヘラブナ釣りやカツオの一本釣りなどで用いられる、かえしがない釣り針のことを英語で何フックというでしょう？,バーブレスフック,バーブレス
211,一般的な麻雀牌の字牌で、唯一文字が緑色で書かれている牌は何でしょう？,發,ハツ
212,これまでにドイツでオリンピックが開催された3つの都市とは、ベルリン、ミュンヘンとあと1つはどこでしょう？,ガルミッシュ＝パルテンキルヒェン,ガルミッシュパルテンキルヒェン
