,ques,ans
912,アニメ『銀河鉄道999』で、メーテルとともに旅をする主人公の少年の名前は何でしょう？,星野鉄郎
913,1986年にヒットした女性歌手・ややの曲のタイトルにも使われている、主にバブル期の日本のブティックにおいて、その店の商品を着て客に応対する販売員を指した言葉は何でしょう？,ハウスマヌカン
914,絵を担当した『ほうれんそうマン』シリーズや、そのスピンオフ作品で自ら原作を務めた『かいけつゾロリ』シリーズなどの代表作がある児童文学作家は誰でしょう？,原ゆたか
915,1654年に来日し、黄檗宗と呼ばれる仏教宗派の祖となった、ある豆の和名にもその名を残す中国・清の僧侶は誰でしょう？,隠元
916,1993年に公開され、1997年に映画『タイタニック』に更新されるまで世界歴代興行収入1位の記録を持っていた、マイケル・クライトン原作、スティーヴン・スピルバーグ監督の、恐竜をモチーフにした映画は何でしょう？,『ジュラシック・パーク』
917,日本100名城では88番目に指定されている、弥生時代の大規模な環濠集落跡である佐賀県の遺跡は何遺跡でしょう？,吉野ヶ里遺跡
918,四国三大祭りに数えられ、鳴子を持った踊り子たちが街を練り歩くことで知られる、毎年8月に高知市で開かれる祭りは何祭りでしょう？,よさこい祭り
919,ダイヤモンドのことを、その硬さから日本語では「金」を使った漢字3文字で何というでしょう？,金剛石
920,現在は東京オリンピック・パラリンピック競技大会組織委員会会長の肩書きを持つ、日本の第85・86代内閣総理大臣を務めた政治家は誰でしょう？,森喜朗
921,その代表例に『レメゲトン』や『ソロモンの鍵』などがある、主にヨーロッパにおいて流通していた魔導書のことを、フランス語の「魔術の書物」を意味する言葉で何というでしょう？,グリモワール
922,高校野球の優勝旗のうち、いわゆる春の甲子園のものをその色から通称「何の優勝旗」というでしょう？,紫紺の優勝旗
923,創業者のサミュエル・ベイカーの甥の名前が付けられた、現在も営業しているものとしては世界最古の競売会社は何でしょう？,サザビーズ
924,現在は井原市の一部になっている、1989年に星空を守るための「光害防止条例」を日本で初めて施行した岡山県の町は何町でしょう？,美星町
925,北アメリカ大陸の五大湖のうち、唯一全域がアメリカに位置しているのは何湖でしょう？,ミシガン湖
926,アメリカのボーイング社が開発し「ジャンボジェット」の愛称で知られる大型旅客機のシリーズ名を「ボーイング何」というでしょう？,ボーイング747
927,インクの染みでできた左右対称の図形を見て何を想像するかで診断する性格検査法を、これを考案したスイスの精神科医の名前を取って何テストというでしょう？,ロールシャッハ・テスト
928,略称を「FSM」という、インテリジェント・デザイン説を公教育に持ち込むことを批判するために創始された、ボビー・ヘンダーソンを預言者とするパロディ宗教を日本語で何教というでしょう？,空飛ぶスパゲッティ・モンスター教
929,島根県の都市で、出雲大社があるのは出雲市ですが、熊野大社があるのは何市でしょう？,松江市
930,1964年に国際空手道連盟極真会館を創設した、梶原一騎原作の漫画『空手バカ一代』の主人公のモデルにもなった往年の空手家は誰でしょう？,大山倍達
931,ドイツの都市で、人口がベルリンに次いで2番目に多いのはどこでしょう？,ハンブルク
932,1874年に提出され、自由民権運動の発端となった、板垣退助や後藤象二郎らが明治政府に対し議会の開設を要望した意見書のことを何というでしょう？,民撰議院設立建白書
933,三角形の五心のうち、3つの内角の二等分線が交わる点を何というでしょう？,内心
934,麻雀で、白・發・中の三種の牌を特に何というでしょう？,三元牌
935,主人公の保吉が、なじみのタバコ屋で店の主人の若い妻とふれあう様子を描いた、芥川龍之介の短編小説のタイトルは何でしょう？,『あばばばば』
936,日本の温泉法は、泉源における水温が摂氏何度以上であれば「温泉」として認めるとしているでしょう？,摂氏25度
937,1776年にトマス・ペインが匿名で出版した、アメリカ合衆国の独立の必要性を説いたパンフレットの題名は何でしょう？,『コモン・センス』
938,1から100までの自然数をすべて足すといくつになるでしょう？,5050
939,文化史の区分で飛鳥文化と天平文化の間にあたる、おおむね大化の改新の頃から平城京遷都までの時期の日本文化のことを、当時使われた元号の1つ「白雉」の別名を用いて何文化というでしょう？,白鳳文化
940,1914年4月1日に宝塚歌劇団の第1回公演として上演された、童話『桃太郎』を題材とする作品のタイトルは何でしょう？,『ドンブラコ』
941,テレビドラマや映画などで、原作者や著名人がわずかな出演時間の端役や、ノンクレジットの役などとして出演することを、ある装飾品の名前を用いて何出演というでしょう？,カメオ出演
942,世界的なワインの産地で、特に発泡性ワインの一大醸造地として有名な、ランスなどの都市が含まれるフランス北東部の地域を一般に何地方というでしょう？,シャンパーニュ地方
943,「ション」「ダン」「チョウ」などの役が存在し、「臉譜」と呼ばれる独特の化粧をして演じられる、中国の伝統的な演劇を何というでしょう？,京劇
944,漢字では「牙買加」と書く、キングストンに首都を置く国はどこでしょう？,ジャマイカ
945,その名はイタリア語で「新鮮な」を意味する言葉に由来する、壁に漆喰を塗りつけ、それが乾かないうちに作品を描く西洋画の技法は何でしょう？,フレスコ
946,江戸時代中期に刊行された『阿蘭陀問答』には「ことのほか悪しきものにて、何の味わいも無く御座候」という感想が記されている、麦芽とホップを主原料に造られる酒は何でしょう？,ビール
947,教育者の陰山英男が活用したことから「陰山メソッド」の1つに数えられる、縦10×横10マスの表の左と上に0から9の数字をランダムに配置し、各マスに指定された計算の答えを書き込む方法を、そのマス目の数から何計算というでしょう？,百ます計算
948,織田信長から「金柑頭」というあだ名を付けられるなどの侮辱を受けていたという説がある、1582年に本能寺の変を起こして主君の信長を自害に追い込んだ戦国武将といえば誰でしょう？,明智光秀
949,1時間は、分に換算すれば60分ですが、秒に換算すれば何秒でしょう？,3600秒
950,牛挽き肉と豚挽き肉など、異なる素材の挽き肉同士を混ぜ合わせたもののことを一般に何肉というでしょう？,合い挽き肉
951,国連加盟国で名前に「ギニア」が付く4ヶ国のうち、唯一アフリカ以外の地域にある国はどこでしょう？,パプアニューギニア
952,事態が進展しないことを、馬場の周囲に巡らした柵を意味する言葉を使って「何が明かない」というでしょう？,埒が明かない
953,1947年5月3日に施行された、前文および103条の条文から構成される日本の現行憲法を何というでしょう？,日本国憲法
954,「気」の流れなどをもとに都市計画や建物のより良い配置を決めるために行われる古代中国からの思想で、近年は開運のためにインテリアや身の回りの品の色や配置を決めるためにも応用されるものといえば何でしょう？,風水
955,ペルシャ語で「家」を意味する言葉である、谷村新司・作詞、弾厚作・作曲の、日本テレビの番組『24時間テレビ「愛は地球を救う」』のテーマソングは何でしょう？,『サライ』
956,アーサー王伝説で、アーサー王が湖の乙女から授かったとされる聖剣を、一般的な英語の呼び名で何というでしょう？,エクスカリバー
957,「アポを取る」の「アポ」とは何という英語の略でしょう？,アポイントメント
958,「ランプ」と同じく古代ギリシャ語の「たいまつ」を由来とする、キャンプなどで使われる、手に持って運べる照明器具は何でしょう？,ランタン
959,予期せぬ幸運を意味する「たなぼた」を略さずいうと何でしょう？,棚からぼたもち
960,雑誌『ニコラ』のモデルとして活躍後、ポッキーのCMで人気を博した、ドラマ『逃げるは恥だが役に立つ』の森山みくり役を務めた女優は誰でしょう？,新垣結衣
961,一般に「みぞれ和え」「みぞれ鍋」といえば何という野菜を材料にした料理でしょう？,大根
962,「おいでよ」「街へいこうよ」「とびだせ」などのシリーズ作品がある、様々な動物キャラクターたちが暮らす村などにプレイヤーが移り住むという設定の、任天堂のゲームシリーズは何でしょう？,『どうぶつの森』
963,英語では「backscratcher」などと呼ばれる道具で、長い爪を持つという中国の伝説上の仙女の名前に由来する、背中など自分の手が届かない部位を掻くために用いられる棒状の道具を何というでしょう？,孫の手
964,1999年から『月刊少年エース』で連載されている、地球侵略を企てるケロン人たちの日常を描いた吉崎観音の漫画作品は何でしょう？,『ケロロ軍曹』
965,一般に「バッテラ」といえば何の魚を使った押し寿司のことでしょう？,さば
966,その見た目から英語では「ヤマアラシ魚」を意味する名で呼ばれる、体を膨らませて無数の棘を逆立てることからその和名がついたフグ目の魚は何でしょう？,ハリセンボン
967,1939年にアメリカ・オハイオ州で創業された牛乳店をルーツとするため、ロゴに牛乳を運ぶ缶が描かれている、日本でもおなじみのコンビニエンスストアチェーンは何でしょう？,ローソン
968,地中海のマルタ島原産であることから名前が付いたとされる犬種といえば何でしょう？,マルチーズ
969,医療現場で患者の容態急変といった緊急事態が起きた際にアナウンスされる隠語で、2008年に第1シリーズが放送されたドクターヘリを題材とするドラマのタイトルにもなった言葉は何でしょう？,コードブルー
970,ドイツ語で「クロールカルキ」とも呼ばれる、次亜塩素酸カルシウムの日本薬局方名は何でしょう？,サラシ粉
971,イギリス国内において、貴族の「公爵」のことを英語で何というでしょう？,デューク
972,経済用語で、景気が過熱せずに不況でもない程よい状態を、イギリス童話の主人公の女の子の名前から何経済というでしょう？,ゴルディロックス経済
973,ロシア語のアルファベットは全部でいくつの文字から成っているでしょう？,33
974,能舞台で、本舞台から向かって左側に斜めに伸びる通路を何というでしょう？,橋懸（はしがかり）
975,雨季には乾季の約６倍の面積になる、カンボジアにある東南アジア最大の湖は何でしょう？,トンレサップ湖
976,為政者や権力者、反革命側の人間によって政治的敵対勢力に対して行われる暴力的な直接行動をフランス王国における王権の象徴であった色から「何テロ」というでしょう？,白色テロ（はくしょくてろ）
977,「蒙古襲来絵詞」の中で竹崎季長の訴えを聞く様子が描かれていることでも知られる、鎌倉中期に北条時宗の重臣として仕え、内管領の平頼綱と対立して「霜月騒動」により一族とともに滅ぼされた有力御家人は誰でしょう？,安達泰盛（あだちやすもり）
978,約数を32個持ち、3桁の自然数の中では約数の個数が最も多い数は何でしょう？,840
979,「永いあいだ、私は自分が生れたときの光景を見たことがあると言い張っていた。」という書き出しで始まる、三島由紀夫の初の書き下ろしの小説は何でしょう？,仮面の告白（かめんのこくはく）
980,その名前は「垂直に並べられたナノチューブの配列」という意味の英語の頭文字を取って名付けられた、世界で最も黒い物質と言われるナノチューブ素材は何でしょう？,ベンタブラック
981,1932年と1980年の２度にわたって冬季オリンピックが開催された、アメリカ・ニューヨーク州にある保養地はどこでしょう？,レークプラシッド
982,優れた人や物を指す「白眉」という語の由来となった、古代中国の蜀に仕えた政治家は誰でしょう？,馬良（ばりょう）
983,作家としては尾辻克彦という名前で活動し芥川賞を受賞している、千円札を模写した作品を発表したことが裁判沙汰になったことや「路上観察学会」の活動でも知られる日本の芸術家は誰でしょう？,赤瀬川原平（あかせがわげんぺい）
984, のちに故事成語となる「鶏口となるとも牛後となることなかれ」という言葉を述べたとされる、中国戦国時代の縦横家を代表する人物は誰でしょう？,蘇秦（そしん）
985, 雍親王の離宮として建設され、ヴェルサイユ宮殿を模した中国初の噴水を持つ庭園があったものの、1860年のアロー戦争でイギリス・フランス軍によって破壊された中国・北京にある遺構は何でしょう？ ,円明園（えんめいえん）
986, 父に同じく作曲家の泰を持つ、『マツケンサンバII』の作曲やNHK朝の連続テレビ小説『ひよっこ』の音楽を手がけ、NHK教育テレビの「クインテット」に本人役として出演していた作曲家は誰でしょう？,宮川彬良（みやがわあきら）
987, 1605年にイングランド王ジェームズ１世の爆殺を謀ったものの失敗して処刑され、のちに彼の名が「男」を意味する「guy」という英単語の語源になったことでも知られる人物は誰でしょう？,ガイ・フォークス
988, 原則2拍子のリズムで「チョワヂョワ」や「オルシグ」といった合いの手を入れながら、ポピュラーソングをメドレー形式で次々歌い継いでいくという、日本でも1990年代に李博士により流行した韓国の音楽ジャンルは何でしょう？,ポンチャック
989, 1860年に江戸で薩摩藩浪士・伊牟田尚平らに殺害された、アメリカ総領事ハリスの通訳を務めていたオランダ人を、一般にその英語名で何と呼ぶでしょう？,ヘンリー・ヒュースケン
990," 標高2,017mで東京都の最高峰となっている、東京都・埼玉県・山梨県の境界にある山は何山でしょう？",雲取（くもとり）
991, 2007年に永世称号・十八世名人の資格を得た、棋士番号183の将棋棋士は誰でしょう？,森内俊之（もりうちとしゆき）
992, 代表曲に『アルハンブラの思い出』があるスペインの作曲家で、その高いギター技術から「ギターのサラサーテ」とも称されていたのは誰でしょう？,フランシスコ・タレガ
993, 世界最小の花を咲かせる植物とされる、ウキクサの一種は何でしょう？,ミジンコウキクサ
994, 横倒しの男性用小便器にサインをしただけの『泉』や、複製絵画の「モナ・リザ」にひげを描き加えただけの『L.H.O.O.Q.』などの作品がある、20世紀美術に多大な影響を与えたフランス生まれの芸術家は誰でしょう？,マルセル・デュシャン
995, 辞書や聖書、六法全書などに使われる、麻などを加えて作る乳白色の薄い紙を何紙というでしょう？,インディア紙
996, 詩集『月光とピエロ』や訳詩集『月下の一群』で知られる、日本の詩人・フランス文学者は誰でしょう？,堀口大學（ほりぐちだいがく）
997, 元はテュイルリー宮殿のオレンジ温室として使われていた、モネ晩年の連作『睡蓮』をはじめとした印象派の画家の作品を多数収蔵している、フランス・パリのセーヌ川に面した美術館は何美術館でしょう？, オランジュリー美術館
998," サンスクリット語で「精霊の山」を意味し、標高は8,163mで世界8位である、ヒマラヤ山脈に属するネパールの山の名前は何でしょう？",マナスル
999, 大日本体育協会副会長や神宮皇學館長を務め、長距離リレーを「駅伝」と命名したことで知られる人物は誰でしょう？,武田千代三郎（たけだちよさぶろう）
1000, 『京いろはかるた』の「つ」の札に書かれている、油断してひどい目にあったという意味のことわざを「何を抜かれる」というでしょう？,月夜に釜を抜かれる（つきよにかまをぬかれる）
1001, 83歳の杉田玄白が『解体新書』を翻訳・刊行した当時の苦心談などを記した手記で、のちに菊池寛がそれを題材とした同名の小説を発表したものは何でしょう？,蘭学事始（らんがくことはじめ）
1002, そのペンネームは俳優・羅門光三郎に由来し、わかぎゑふとともに劇団「笑殺軍団リリパットアーミー」を立ち上げた、小説『今夜、すべてのバーで』などの著書がある作家は誰でしょう？,中島らも（なかじまらも）
1003, 光仁天皇の皇子で、桓武天皇の即位とともに皇太子に就任するも、藤原種継暗殺事件で淡路に配流され、道中で亡くなった人物は誰でしょう？, 早良親王（さわらしんのう）
1004, 日本昆虫学会のシンボルマークにもなっている、「生きた化石」ともいわれる日本固有種の昆虫は何でしょう？,ムカシトンボ
1005, 古代北インド最後の統一王朝である、606年に即位したハルシャ王が北インドの大半を統一したものの彼の死後に分裂し崩壊した王朝を何朝というでしょう？,ヴァルダナ
1006, 日本からは東京ドラゴンズが参加していた、MLBに匹敵するリーグを目指して1969年に設立されたものの1年で打ち切りとなったプロ野球リーグは何リーグでしょう？,グローバル
1007, 七代目市川團十郎が選定した「歌舞伎十八番」のうち、題名に漢数字が使われている演目は『助六』と何でしょう？,七つ面（ななつめん）
1008, ラテン語の「詰め込む」という言葉が語源の、かつて中世フランスで宗教劇の幕間に演じられた劇の形態で、日本語では「笑劇」「道化芝居」と訳されるものは何でしょう？,ファルス
1009, 日米和親条約締結時に江戸幕府老中首席だった、安政の改革を主導した人物は誰でしょう？,阿部正弘（あべまさひろ）
1010, 上野国の満徳寺とともに江戸幕府から「駆け込み寺」「縁切寺」として公認されていた、現在の神奈川県鎌倉市に位置する臨済宗の寺はどこでしょう？,東慶寺（とうけいじ）
1011, 双葉山の連勝記録が69で止まった際の「双葉敗る！」という実況中継や、1945年8月15日の玉音放送で終戦の詔勅を朗読したことで知られる、NHKのアナウンサーは誰でしょう？,和田信賢（わだのぶかた）
1012, 正式には『青砥稿花紅彩画』といい、「知らざあ言って聞かせやしょう」のセリフが有名な、河竹黙阿弥によって創作された歌舞伎の演目を、通称何と呼ぶでしょう？,白浪五人男（しらなみごにんおとこ）
1013, 名は良金といい、父に内蔵助こと良雄を持つ、いわゆる赤穂浪士四十七士の中で最年少だった人物を一般に何と呼ぶでしょう？,大石主税（おおいしちから）
1014, 日本の国立大学で唯一聴覚・視覚に障がいを持つ人を対象とした教育を行っている、茨城県に本部を置く大学はどこでしょう？,S45問題  筑波技術大学（つくばぎじゅつだいがく）
1015, 代表作に『黒の過程』『ハドリアヌス帝の回想』などがあり、1980年には女性として初めてアカデミー・フランセーズの会員となったフランスの小説家は誰でしょう？,マルグリット・ユルスナール
1016, 江戸時代にあった五街道の宿場のうち、日本橋から見て日光街道および奥州街道の最初の宿場だったのは何宿でしょう？,千住（せんじゅ）
1017, 日本語では「燃素」と呼ばれる、かつて物体が燃焼する際にその物体から放出されると考えられ、18世紀末にラヴォアジエらによりその存在が否定された物質は何でしょう？,フロギストン
1018, その名はギリシャ語で「うつむく者」といった意味がある、大プリニウスの『博物誌』において現在のエチオピア西部に生息し、その眼を見たものは即死すると記されている架空の生物は何でしょう？,カトブレパス
1019, 作曲家ストラヴィンスキーの三大バレエ音楽とは、1910年初演の『火の鳥』、1911年初演の『ペトルーシュカ』と、1913年初演の何という作品でしょう？, 春の祭典（はるのさいてん）
1020, 元々は歌舞伎などで笛や太鼓を用いて賑やかな演出をすることを指し、転じて物事を大げさに宣伝する様子を表すようになった慣用句は何でしょう？,鳴り物入り（なりものいり）
1021, 「推敲」の語源となった「僧は敲く月下の門」という一節を含む詩を作った、中国・唐の詩人は誰でしょう？,賈島（かとう）
1022, 国鉄三大ミステリー事件と呼ばれる下山事件、三鷹事件、松川事件が起きたのは、いずれも西暦何年でしょう？,1949
1023, 卒業生にバイオリニストの高嶋ちさ子や指揮者の小澤征爾らがいる、東京都調布市に本部を置く私立大学は何大学でしょう？,桐朋学園（とうほうがくえん）
1024, 最狭部が9.93mで、世界一幅の狭い海峡としてギネス世界記録に認定されている、香川県の小豆島と前島の間にある海峡は何海峡でしょう？,土渕（どふち）
1025, 1935年にアメリカの科学者ウェンデル・スタンリーが結晶化に成功した、世界で初めて発見されたウイルスは何でしょう？,タバコモザイクウイルス
1026, 夫の火葬の際に妻がその火の中に身を投げ殉死するという、かつてヒンドゥー教徒の間で行われていた風習を何というでしょう？,サティー
1027, その高さは20世紀に建築された超高層ビルとしては最も高い452mを誇り、2本のビルが対になっていることが特徴的な、マレーシアの首都・クアラルンプールにある建造物は何でしょう？,ペトロナスツインタワー
1028, 『私立極道高校』『天より高く』『魁!!︎男塾』などの作品で知られる日本の漫画家は誰でしょう？,宮下あきら（みやしたあきら）
1029, BMW社製自動車の特徴である「日」を横倒しにしたような形のフロントグリルを、その形から「腎臓」という英語を使って何と呼ぶでしょう？,キドニーグリル
1030, 沖縄の方言で「太陽の子」を意味する言葉を冠する、2019年に予定されている沖縄都市モノレール・ゆいレールの延伸開業で終点となる予定の駅は何駅でしょう？,てだこ浦西（てだこうらにし）
1031, 製造元として「キャベツ太郎」「チョコ太郎」「蒲焼さん太郎」などの商品を手掛けている、茨城県に本社を置く駄菓子メーカーは何でしょう？,菓道（かどう）
1032, 1992年に国民栄誉賞を受賞した、『ラジオ体操の歌』『丘を越えて』『青い山脈』などの歌で知られるかつての日本の国民的歌手は誰でしょう？,藤山一郎（ふじやまいちろう）
1033, 1997年に「詩のボクシング」で初代チャンピオンに輝くなど詩人としても活動する、第101回直木賞を受賞した小説『高円寺純情商店街』などの著作がある小説家は誰でしょう？,ねじめ正一（ねじめしょういち）
1034, ジョージ・オーウェルの小説『1984年』に登場する、国民の思考を制限するため、英語を基に語彙を極限まで削って作られたという架空の言語は何でしょう？,ニュースピーク
1035, 特に伊豆七島の御蔵島産の桑の木で作られたものが高級品である、囲碁で碁石を入れるのに使う容器を何というでしょう？,碁笥（ごけ）
1036, 富山湾で獲れた寒ブリの輸送路であったことから「鰤街道」、またノーベル賞受賞者に縁があることから「ノーベル街道」との別名がある、愛知県名古屋市と富山県富山市を結ぶ国道は何号でしょう？,41
1037, ヒト免疫不全ウイルスもその一種である、ウイルスRNAを鋳型にマイナス鎖DNAを合成するウイルスのことを「逆に」という意味の接頭語を使って「何ウイルス科」と総称するでしょう？,レトロウイルス科
1038, 行列力学と不確定性原理によって量子力学に貢献したことから、1932年にノーベル物理学賞を受賞したドイツの理論物理学者は誰でしょう？,ヴェルナー・ハイゼンベルク
1039, ジャガイモはナス科の植物ですが、ナガイモは何科の植物でしょう？,ヤマノイモ
1040, 1543年、領内に漂着したポルトガル人から鉄砲を購入し、家臣に命じて日本初の国産の銃を製造させた、種子島氏の第14代当主は誰でしょう？,種子島時尭（たねがしまときたか）
1041, 南アメリカ大陸の国で、唯一オランダ語を公用語にしている国はどこでしょう？,スリナム
1042, アメリカのセントルイスに本社を置くビール製造会社で、日本でも知られる「バドワイザー」などのブランドを持つのは何でしょう？,アンハイザー・ブッシュ
1043, 若狭湾に面する京都府の市で、日本三景の1つ「天橋立」があるのはどこでしょう？,宮津（みやづ）
1044, ポルトガルがユーロを導入する直前に使用していた通貨単位は何でしょう？,エスクード
1045, 電脳都市チバシティを舞台としたサイバーパンクの代表作で、ウィリアム・ギブスンの長編処女作であるSF小説は何でしょう？,ニューロマンサー
1046, ロッキード事件発覚時の日本の内閣総理大臣は誰でしょう？,三木武夫（みきたけお）
1047, 南米ボリビアで「アラシタの祭」の時に売られるもので、自分が欲しいもののミニチュアを持たせ、タバコをくわえさせることで入手を祈願する人形を何人形というでしょう？,エコケ
1048, 「企業合同」ともいわれる、同じ業種の複数の企業が資本結合などにより事実上一体化して市場を独占することを、英語で何というでしょう？,トラスト
1049, 第一次世界大戦で活躍したドイツの軍人で、大戦後の1925年からヴァイマル共和政ドイツ大統領となり、のちにヒトラーを首相に任命した人物は誰でしょう？,パウル・フォン・ヒンデンブルク
1050, 著書に『性の歴史』『監獄の誕生』『言葉と物』などがあるフランスの哲学者は誰でしょう？,ミシェル・フーコー
1051, 月にある「海」の中で最も広いものは何でしょう？,嵐の大洋（あらしのたいよう）
1052, 第1回は三留理男が受賞した、「写真界の直木賞」と呼ばれる毎日新聞主催の写真賞は何賞でしょう？, 土門拳賞（どもんけんしょう）
1053, 鳴子温泉、飯坂温泉とともに奥州三名湯に数えられ、奇岩で知られる磊々峡などの景勝地に隣接している、仙台市太白区にある温泉は何温泉でしょう？,秋保（あきう）
1054, 日本語では「怪雨」と呼ばれる、魚や蛙など本来は有り得ないものが空から降り注ぐ現象を、英語の「falls from the skies」を省略した造語で何というでしょう？,ファフロツキーズ
1055, 特撮番組『ウルトラマン』で、ハヤタ隊員がウルトラマンに変身する時に使う変身アイテムは何でしょう？,ベーターカプセル
1056, 化学式C40H56O2で表され、有害な光から目を守る働きを持つことから「天然のサングラス」とも呼ばれる、ホウレンソウやケール、卵黄などに多く含まれる天然色素は何でしょう？,ルテイン
1057, フランス語で「塗り絵」という意味がある、日本の女性の間でも癒し効果があるとしてブームになったフランス発祥の大人向けの塗り絵を何というでしょう？,コロリアージュ
1058, 1923年にドイツの首相としてインフレーション収拾のためにレンテンマルクを発行し、その後は外務大臣としてロカルノ条約の締結に尽力しドイツの国際連盟加盟を実現したことで1926年にノーベル平和賞を受賞した人物は誰でしょう？,グスタフ・シュトレーゼマン
1059, 歴史書『大鏡』において、夏山繁樹とともに主な語り手として登場する190歳の老人は誰でしょう？,大宅世継（おおやけのよつぎ）
1060, 慣用句で、口の中でブツブツつぶやく様子を「蟹の何」というでしょう？,念仏（ねんぶつ）
1061, 1997年にエンゼルスに入団し、アメリカンリーグでは日本人初の勝利投手となった元野球選手は誰でしょう？,長谷川滋利（はせがわしげとし）
1062, 島根県松江市の名誉市民でもある、オブジェクト指向スクリプト言語「Ruby」を開発したことで知られる人物は誰でしょう？,まつもとゆきひろ
1063, ドラマ『逃げるは恥だが役に立つ』でオープニング曲を担当した、ももと小春の姉妹からなる音楽ユニットは何でしょう？,チャラン・ポ・ランタン
1064, スタジオジブリの映画『天空の城ラピュタ』がアメリカで上映された際にはムスカ大佐の声の吹き替えを担当した、映画『スター・ウォーズ』シリーズのルーク・スカイウォーカー役で知られる俳優は誰でしょう？,マーク・ハミル
1065, 我々の銀河系の中に、人類とコンタクトできる地球外生命による文明がどれくらい存在するかを推定する方程式のことを、1961年にこれを提案したアメリカの天文学者の名をとって何の方程式というでしょう？,ドレイクの方程式
1066, 主な作品に『内緒の接吻』『読書する娘』『ぶらんこ』などがある、フランスのグラッス出身であるロココ末期の画家は誰でしょう？,ジャン・オノレ・フラゴナール
1067, 叙事詩『ニーベルンゲンの歌』で、英雄ジークフリートが愛用した青い宝玉が埋め込まれた剣の名前は何でしょう？,バルムンク
1068, 聖徳太子が制定した「冠位十二階」で、最も上の冠位は大徳ですが、最も下の冠位は何でしょう？,小智（しょうち）
1069, オリンピックやワールドカップなどのイベントにおいて、公式スポンサー以外のものが無断でロゴなどを使用したり、関連商品を扱ったりして行う便乗商法のことを、「待ち伏せ」を意味する英語から「何・マーケティング」というでしょう？,アンブッシュ・マーケティング
1070, オーストラリア国旗でユニオンジャックが描かれている部分や、アメリカ星条旗の青地で白星が描かれている部分がこれにあたる、旗や紋章の左上側の区画のことを何というでしょう？,カントン
1071, 冬場の強い風が電線や竹垣などに吹き付けて鳴る音を、竹を組んで作った柵を意味する言葉を使って何というでしょう？,虎落笛（もがりぶえ）
1072, 日本語では「褐変反応」とも呼ぶ、還元糖とアミノ化合物を加熱した時などに物質が茶色く色づき香り成分を生む反応を、その詳細を研究したフランスの化学者の名前から何反応というでしょう？,メイラード反応
1073, 日本語では「協定世界時」と訳される、世界各地の標準時の基準となる原子時系の時刻をアルファベット3文字で何というでしょう？,UTC
1074, 戦国時代の日本で布教活動を行い、歴史書『日本史』を記したポルトガル出身のイエズス会宣教師は誰でしょう？,ルイス・フロイス
1075, 新潮新人賞を受賞した小説『銃』でデビューし、『掏摸』『教団X』などの作品がある、『土の中の子供』で芥川賞を受賞した作家は誰でしょう？,中村文則（なかむらふみのり）
1076, 名前は「さり」と読まれることもある、草書の第一人者として小野道風、藤原行成とともに三蹟の1人に数えられた平安時代の貴族は誰でしょう？,藤原佐理（ふじわらのすけまさ）
1077, 蹴鞠の競技開始時に、鞠を高く蹴り上げることを何というでしょう？,上鞠
1078, 共同体における「ゲマインシャフト」と「ゲゼルシャフト」の概念を提唱した、ドイツの社会学者は誰でしょう？,フェルディナント・テンニース
1079, 29.2kmという日本の国道で最長の直線区間を含む、北海道の札幌市と旭川市を結ぶ国道は国道何号でしょう？, 12
1080, 米使節マシュー・ペリーが黒船で浦賀に来航した時に持参した大統領親書を記したアメリカ大統領は誰でしょう？,ミラード・フィルモア
1081, 5次以上の代数方程式には一般的な解の公式が存在しないことを初めて示した人物であり、可換群の別名や、ノルウェー政府が授与する数学賞に名を残す同国出身の数学者は誰でしょう？,ニーベル・アーベル
1082, 「冥王星」の和名命名者として知られる、作家・大佛次郎の兄でもある英文学者は誰でしょう？,野尻抱影（のじりほうえい）
1083, ロンドンの「The O2」で2000年1月1日に演奏が開始され、2999年12月31日まで演奏される予定である、ジェム・ファイナーの曲を基に作られた世界一演奏時間が長いとされる音楽作品は何でしょう？,ロングプレイヤー
1084, 民族学者マルセル・グリオールらにより「高い天文学知識に基づく神話を有する」と紹介された、アフリカ・マリ共和国にあるユネスコの世界遺産・バンディアガラの断崖に居住する民族を何族というでしょう？,ドゴン
1085, タンパク質やペプチド中のペプチド結合を加水分解する酵素の総称を何というでしょう？,プロテアーゼ
1086, さえずりが「月日星、ホイホイホイ」と聞こえることからその名が付いたとされる鳥で、繁殖期のオスは体長の3倍ほどの長さの尾を持つ、スズメ目の渡り鳥は何でしょう？,サンコウチョウ
1087, 1952年から毎日新聞で連載された舟橋聖一の小説で、1963年にNHK大河ドラマ第1作として放送された同名のドラマの原作となった作品は何でしょう？,花の生涯（はなのしょうがい）
1088, シリーズ第1作の『新宿中央公園殺人事件』より主人公として登場し、彼の名を冠した推理アドベンチャーゲームシリーズが2017年に30周年を迎えた、新宿歌舞伎町で探偵事務所を営むという設定のゲームキャラクターは誰でしょう？,神宮寺三郎（じんぐうじさぶろう）
1089,2006年の第1回は日本人の伊藤清が受賞した、ドイツ数学会と国際数学連合が共同で創設した賞で、社会や日常生活への数学の応用に関して優れた功績を残した人物に4年に1度授与されるのは何賞でしょう？,ガウス賞
1090, 宮殿内の時計がトルコ初代大統領が亡くなった時間の9時5分で止められている、イスタンブールにある宮殿は何宮殿でしょう？,ドルマバフチェ宮殿
1091, コペンハーゲン、オーフスに次ぐデンマーク第3の都市で、童話作家のアンデルセンが生まれた街として知られるのはどこでしょう？,オーデンセ
